member,title,party,year,aye,nay,abstain,absent
Jerry Halpin,Supervisor,Unaffiliated,2026,728,3,2,0
Denise Merrifield,Councilwoman,Republican,2024,72,1,0,0
Denise Merrifield,Councilwoman,Republican,2025,1025,9,2,0
Denise Merrifield,Councilwoman,Republican,2026,732,0,1,0
Joann Waski,Councilwoman,Republican,2024,72,0,1,0
Joann Waski,Councilwoman,Republican,2025,1034,2,0,0
Joann Waski,Councilwoman,Republican,2026,733,0,0,0
Kenneth Rothwell,Councilman,Republican,2022,55,0,0,0
Kenneth Rothwell,Councilman,Republican,2023,42,1,0,0
Kenneth Rothwell,Councilman,Republican,2024,73,0,0,0
Kenneth Rothwell,Councilman,Republican,2025,996,3,1,1
Kenneth Rothwell,Councilman,Republican,2026,728,1,3,1
Robert Kern,Councilman,Republican,2022,55,0,0,0
Robert Kern,Councilman,Republican,2023,42,1,0,0
Robert Kern,Councilman,Republican,2024,72,1,0,0
Robert Kern,Councilman,Republican,2025,1001,7,0,0
Robert Kern,Councilman,Republican,2026,727,4,1,1
Tim Hubbard,Supervisor,Republican,2022,54,0,1,0
Tim Hubbard,Supervisor,Republican,2023,43,0,0,0
Tim Hubbard,Supervisor,Republican,2024,73,0,0,0
Tim Hubbard,Supervisor,Republican,2025,1001,1,2,32
Yvette Aguiar,Supervisor,,2022,55,0,0,0
Yvette Aguiar,Supervisor,,2023,41,2,0,0
Beyrodt Jr.,Councilmember,,2022,0,0,0,55
Beyrodt Jr.,Councilmember,,2023,0,0,0,43
