title,annual
Senior Assessment Clerk,60300.28
Assessment Clerk,53298.89
Account Clerk,76832.03
Maintenance Mechanic II,78501.24
Maintenance Mechanic II,58923.83
Groundskeeper I,62868.95
Custodial Worker I,52088.74
Maintenance Mechanic II,58923.83
Maintenance Mechanic II,56748.57
Maintenance Mechanic II,59648.92
Custodial Worker II,56817.98
Maintenance Mechanic II,79951.42
Custodial Worker III,66174.72
Maintenance Mechanic IV,69663.78
Grounds Maintenance Supervisor,92645.21
Maintenance Mechanic IV,68868.35
Maintenance Mechanic III,68807.67
Maintenance Mechanic II,66174.72
Maintenance Mechanic III,81341.16
Maintenance Mechanic III,73231.25
Building Maintenance Manager,99041.58
Community Dev Admin,153968.87
Stipend,20000.0
Associate Administrator,96956.79
Community Development Program Ar,73430.8
Asst Community Dev Project Super,125438.34
Grants Analyst,95942.85
Housing Inspector,91136.79
Principal Office Assistant,60184.96
Building Inspector,83562.23
Building Plans Examiner,68161.2
Sr. Building Inspector,104849.4
Office Assistant,44853.07
Electrical Inspector,76809.16
Office Assistant,44853.07
Senior Planner,115299.34
Senior Planner,106435.96
Site Plan Reviewer,78734.86
Planner,97652.28
Town Engineer,174073.23
Town Engineer,162119.03
Junior Civil Engineer,78734.86
Administrative Assistant,67145.41
Senior Office Assistant,56593.18
Chief Accountant,171023.4
Principal Accountant,108438.75
PayrollSupervisor,101209.5
Accountant,92097.61
Budget Assistant,65416.51
Principal Account Clerk,64798.72
Account Clerk,52297.25
Harbormaster I,73432.62
Town Historian,10200.0
Personnel Assistant,77173.77
Town Personnel Officer,90409.52
Network and Systems Coordinator,160076.25
Network and Systems Specialist II;,102980.85
Acting Deputy,92566.32
Network and Systems Specialist II,3000.0
Stipend,53847.6
Technical Support Aide,81311.2
GIS Technician I!I,62967.96
Account Clerk,85899.36
Youth Counselor,57371.18
Justice Court Clerk- Spanish Speaking,57371.18
Justice Court Clerk,100444.9
Justice Court Director,56667.73
Justice Court Clerk- Spanish Speaking,58778.07
Justice Court Clerk,73425.63
Senior Justice Court Clerk,62549.29
Senior Justice Court Clerk,
Court Officer,
Court Officer,
Court Officer,
Court Officer,
Court Officer,59829.12
Legislative Secretary,87163.32
Auto Mechanic IV,63646.82
Auto Mechanic II,66969.48
Account Clerk,73858.21
Auto Mechanic III,68564.79
Auto Mechanic III,71637.92
Account Clerk,73638.68
Account Clerk,52297.25
Principal Office Assistant,64405.63
Public Safety Dispatcher I,60380.75
Public Safety Dispatcher I,63286.51
Public Safety Dispatcher I,79994.68
Public Safety Dispatcher I,79994.68
Public Safety Dispatcher I,66918.72
Public Safety Dispatcher III,80606.16
Public Safety Dispatcher I,60380.75
Public Safety Dispatcher II,69584.75
Public Safety Dispatcher I,61833.63
Public Safety Dispatcher I,66192.28
Public Safety Dispatcher I,60380.75
Public Safety Dispatcher I,79994.68
Public Safety Dispatcher I,61833.63
Public Safety Dispatcher I,60380.75
Police Officer,
Police Officer,
Police Officer,
Police Officer,
Police Officer,
Police Officer,
Crossing Guard,
Crossing Guard,
Crossing Guard,
Detention Attendent,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Traffic Control Specialist,
Superintendant of Recreation I,137948.05
Assistant Superintendent of Recreatic,81000.0
Cultural Affairs Supervisor,68635.2
Recreation Supervisor,93572.32
Assistant Recreation Program Coordir,69765.69
Account Clerk,52297.25
Account Clerk,76364.19
Sub-Registrar,500.0
Deputy Registrar,1000.0
Automotive Equipment Operator,57197.08
Automotive Equipment Operator,57197.08
Automotive Equipment Operator,69362.62
Senior Citizens Program Director,130746.08
Senior Citizens Program Supervisor,68328.33
Mini-Bus Driver,46541.34
Mini-Bus Driver,49355.12
Mini-Bus Driver,54982.68
Mini-Bus Driver,49917.88
Mini-Bus Driver,53857.17
Recreation Aide,
Senior Citizen Aide,48139.34
Senior Citizen Aide,49701.8
Senior Cook,56108.19
Cook,45535.24
Cook,55430.82
Deputy Town Clerk,58661.49
Senior Account Clerk,83917.87
Clerk-Spanish Speaking,
Deputy Highway Superintendent,92147.0
Administrative Assistant (HWY),84870.72
