title,annual,hourly_basis
Senior Assessment Clerk,60300.28,30.923220512820514
Assessment Clerk,53298.89,27.332764102564102
Account Clerk,76832.03,39.40104102564103
Maintenance Mechanic II,78501.24,40.257046153846154
Maintenance Mechanic II,58923.83,30.21734871794872
Groundskeeper I,62868.95,32.240487179487175
Custodial Worker I,52088.74,26.71217435897436
Maintenance Mechanic II,58923.83,30.21734871794872
Maintenance Mechanic II,56748.57,29.10183076923077
Maintenance Mechanic II,59648.92,30.589189743589742
Custodial Worker II,56817.98,29.137425641025644
Maintenance Mechanic II,79951.42,41.000728205128205
Custodial Worker III,66174.72,33.935753846153844
Maintenance Mechanic IV,69663.78,35.72501538461538
Grounds Maintenance Supervisor,92645.21,47.510364102564104
Maintenance Mechanic IV,68868.35,35.31710256410257
Maintenance Mechanic III,68807.67,35.28598461538461
Maintenance Mechanic II,66174.72,33.935753846153844
Maintenance Mechanic III,81341.16,41.71341538461539
Maintenance Mechanic III,73231.25,37.55448717948718
Building Maintenance Manager,99041.58,50.79055384615385
Community Dev Admin,153968.87,78.95839487179487
Stipend,20000.0,10.256410256410257
Associate Administrator,96956.79,49.721430769230764
Community Development Program Ar,73430.8,37.65682051282052
Asst Community Dev Project Super,125438.34,64.32735384615384
Grants Analyst,95942.85,49.201461538461544
Housing Inspector,91136.79,46.73681538461538
Principal Office Assistant,60184.96,30.86408205128205
Building Inspector,83562.23,42.85242564102564
Building Plans Examiner,68161.2,34.95446153846154
Sr. Building Inspector,104849.4,53.76892307692307
Office Assistant,44853.07,23.00157435897436
Electrical Inspector,76809.16,39.38931282051282
Office Assistant,44853.07,23.00157435897436
Senior Planner,115299.34,59.12786666666666
Senior Planner,106435.96,54.582543589743594
Site Plan Reviewer,78734.86,40.376851282051284
Planner,97652.28,50.07809230769231
Town Engineer,174073.23,89.26832307692308
Town Engineer,162119.03,83.1379641025641
Junior Civil Engineer,78734.86,40.376851282051284
Administrative Assistant,67145.41,34.43354358974359
Senior Office Assistant,56593.18,29.02214358974359
Chief Accountant,171023.4,87.7043076923077
Principal Accountant,108438.75,55.60961538461538
PayrollSupervisor,101209.5,51.902307692307694
Accountant,92097.61,47.22954358974359
Budget Assistant,65416.51,33.546928205128204
Principal Account Clerk,64798.72,33.23011282051282
Account Clerk,52297.25,26.819102564102565
Harbormaster I,73432.62,37.657753846153845
Town Historian,10200.0,5.230769230769231
Personnel Assistant,77173.77,39.57629230769231
Town Personnel Officer,90409.52,46.36385641025641
Network and Systems Coordinator,160076.25,82.09038461538462
Network and Systems Specialist II;,102980.85,52.810692307692314
Acting Deputy,92566.32,47.46990769230769
Network and Systems Specialist II,3000.0,1.5384615384615385
Stipend,53847.6,27.614153846153844
Technical Support Aide,81311.2,41.69805128205128
GIS Technician I!I,62967.96,32.29126153846154
Account Clerk,85899.36,44.050953846153845
Youth Counselor,57371.18,29.42111794871795
Justice Court Clerk- Spanish Speaking,57371.18,29.42111794871795
Justice Court Clerk,100444.9,51.51020512820512
Justice Court Director,56667.73,29.06037435897436
Justice Court Clerk- Spanish Speaking,58778.07,30.1426
Justice Court Clerk,73425.63,37.654169230769234
Senior Justice Court Clerk,62549.29,32.076558974358974
Senior Justice Court Clerk,,25.0
Court Officer,,25.0
Court Officer,,25.0
Court Officer,,25.0
Court Officer,,25.0
Court Officer,59829.12,30.681600000000003
Legislative Secretary,87163.32,44.69913846153847
Auto Mechanic IV,63646.82,32.63939487179487
Auto Mechanic II,66969.48,34.34332307692308
Account Clerk,73858.21,37.87600512820513
Auto Mechanic III,68564.79,35.16143076923077
Auto Mechanic III,71637.92,36.73739487179487
Account Clerk,73638.68,37.763425641025634
Account Clerk,52297.25,26.819102564102565
Principal Office Assistant,64405.63,33.028528205128204
Public Safety Dispatcher I,60380.75,30.96448717948718
Public Safety Dispatcher I,63286.51,32.45462051282051
Public Safety Dispatcher I,79994.68,41.022912820512815
Public Safety Dispatcher I,79994.68,41.022912820512815
Public Safety Dispatcher I,66918.72,34.317292307692306
Public Safety Dispatcher III,80606.16,41.33649230769231
Public Safety Dispatcher I,60380.75,30.96448717948718
Public Safety Dispatcher II,69584.75,35.68448717948718
Public Safety Dispatcher I,61833.63,31.709553846153845
Public Safety Dispatcher I,66192.28,33.944758974358976
Public Safety Dispatcher I,60380.75,30.96448717948718
Public Safety Dispatcher I,79994.68,41.022912820512815
Public Safety Dispatcher I,61833.63,31.709553846153845
Public Safety Dispatcher I,60380.75,30.96448717948718
Police Officer,,27.0
Police Officer,,27.0
Police Officer,,27.0
Police Officer,,27.0
Police Officer,,27.0
Police Officer,,27.0
Crossing Guard,,20.0
Crossing Guard,,20.0
Crossing Guard,,20.0
Detention Attendent,,20.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Traffic Control Specialist,,21.0
Superintendant of Recreation I,137948.05,70.74258974358973
Assistant Superintendent of Recreatic,81000.0,41.53846153846154
Cultural Affairs Supervisor,68635.2,35.19753846153846
Recreation Supervisor,93572.32,47.98580512820513
Assistant Recreation Program Coordir,69765.69,35.777276923076926
Account Clerk,52297.25,26.819102564102565
Account Clerk,76364.19,39.161123076923076
Sub-Registrar,500.0,0.2564102564102564
Deputy Registrar,1000.0,0.5128205128205128
Automotive Equipment Operator,57197.08,29.331835897435898
Automotive Equipment Operator,57197.08,29.331835897435898
Automotive Equipment Operator,69362.62,35.570574358974355
Senior Citizens Program Director,130746.08,67.0492717948718
Senior Citizens Program Supervisor,68328.33,35.04016923076923
Mini-Bus Driver,46541.34,23.867353846153843
Mini-Bus Driver,49355.12,25.31031794871795
Mini-Bus Driver,54982.68,28.196246153846154
Mini-Bus Driver,49917.88,25.59891282051282
Mini-Bus Driver,53857.17,27.619061538461537
Recreation Aide,,21.83
Senior Citizen Aide,48139.34,24.686841025641023
Senior Citizen Aide,49701.8,25.488102564102565
Senior Cook,56108.19,28.77343076923077
Cook,45535.24,23.351405128205126
Cook,55430.82,28.42606153846154
Deputy Town Clerk,58661.49,30.082815384615383
Senior Account Clerk,83917.87,43.03480512820513
Clerk-Spanish Speaking,,20.0
Deputy Highway Superintendent,92147.0,47.2548717948718
Administrative Assistant (HWY),84870.72,43.52344615384615
