year,appropriations,estimated_revenues,appropriated_fund_balance,tax_levy,source
2005,30840590,8030960,1250000,21559630,05.adopted.budget.pdf
2009,39517562,11200860,2005602,26311100,2009.adopted.budget.pdf
2010,43277978,10956345,4701200,27620433,2010.adopted.budget.pdf
2011,42383100,10532600,2600000,29250500,2011.Adopted Budget.pdf
2012,43865900,11141600,2600000,30124300,2012.Adopted.Budget.pdf
2013,44981980,10845400,3082680,31053900,document957030902120612.pdf (2013)
2014,46327350,10923450,3570500,31833400,document957043856112013.pdf (2014)
2015,45668800,12973500,0,32695300,document957022719050415.pdf (2015)
2016,46136300,11545700,0,34590600,document957104317121615.pdf (2016)
2017,47100400,10846000,0,36254400,document957094340010417.pdf (2017)
2018,48463550,11141250,0,37322300,document958090952092917.pdf (2018)
2019,50648900,11800100,0,38848800,document958105748120718.pdf (2019)
2020,51359400,11289400,0,40070000,2020AdoptedBudget957121129112119PM.pdf
2021,52007600,10223100,0,41784500,2021AdoptedBudget958090915113020AM.pdf
2022,52487600,11998462,0,40489138,2022AdoptedBudget958105751111721AM.pdf
2024,60797800,14273650,2000000,44524150,2024AdoptedBudget1505034817111523PM.pdf
2025,64852829,14463350,1750000,48639479,2025AdoptedBudget1518015509112024PM.pdf
