meeting_date,item,resolution,title,result,adopted,mover,seconder,Hubbard,Kern,Merrifield,Rothwell,Waski
"January 7, 2025",1,2025-1,Establishes Capital Project #12426 Meetinghouse Creek Restoration,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",2,2025-2,Establishes Capital Project #12425 for Town Owned Alleyway Enhancements,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",3,2025-3,Acceptance of 2023 Audited Financial Statements,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",4,2025-4,"Ratifies Waiver of Building Department Fees for Habitat for Humanity, Nunc Pro Tunc.",ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",5,2025-5,Ratifies Authorization for Employee to Buy-Back Accrued Vacation Time,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",6,2025-6,Sets Fees for the 2025 Recreation Winter Brochure,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",7,2025-7,Authorization to Publish a Help Wanted Advertisement for Part- Time Police Officers,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",8,2025-8,Sets Salaries of Elected Officials for 2025,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",9,2025-9,Sets Salaries of General Town Employees for the Year 2025,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",10,2025-10,Sets Salaries of Various Boards for the Year 2025,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",11,2025-11,Sets Salaries of Police Officers for the Year 2025,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",12,2025-12,Sets Salaries of Highway Department for the Year 2025,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",13,2025-13,Sets Salaries of Sewer/Scavenger Waste District for the Year 2025,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",14,2025-14,Sets Salaries of Street Lighting District for the Year 2025,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",15,2025-15,Sets Salaries of Water District Employees for the Year 2025,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",16,2025-16,Sets Salaries for 2025 Beach Personnel for the Riverhead Recreation Department,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",17,2025-17,Sets Salaries for Various Call-In Recreation Personnel for 2025,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",18,2025-18,Sets Salaries for 2025 Call-In Personnel,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",19,2025-19,Appoints a Water Treatment Plant Operator Trainee,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",20,2025-20,Appoints a Budget Assistant,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",21,2025-21,Appoints Financial Advisor,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",22,2025-22,Appoints Bond Counsel,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",23,2025-23,Renews the Appointment of Legal Representation for the Planning Board,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",24,2025-24,"Re-Appoints a Zoning Officer, Nunc Pro Tunc",ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",25,2025-25,Reappoints Members to the Anti-Bias Task Force,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",26,2025-26,Reappoints Member to Recreation Advisory Committee (Winter),ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",27,2025-27,Reappoints Member to the Town of Riverhead Planning Board,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",28,2025-28,Reappoints Legal Representation for the Zoning Board of Appeals,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",29,2025-29,Ratifies the Reclassification of a Heavy Equipment Operator to Construction Equipment Operator,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",30,2025-30,Ratifies the Reclassification of a Heavy Equipment Operator to Construction Equipment Operator,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",31,2025-31,Ratifies the Reclassification of a Heavy Equipment Operator to Construction Equipment Operator,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",32,2025-32,Ratifies the Reclassification of a Heavy Equipment Operator to Construction Equipment Operator,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",33,2025-33,Ratifies the Reclassification of an Office Assistant to a Senior Office Assistant,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",34,2025-34,Ratifies the Reclassification of a Groundskeeper to Maintenance Mechanic II,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",35,2025-35,Ratifies the Reclassification of a Groundskeeper to Maintenance Mechanic II,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",36,2025-36,Approves Salary Adjustment for a Legislative Secretary,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",37,2025-37,Approves Salary Adjustments for Public Safety Dispatchers,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",38,2025-38,Approves Salary Adjustments for Named Water District Employees,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",39,2025-39,Approves Salary Increase for a Heavy Equipment Operator,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",40,2025-40,Approves Salary Increase for a Water District Maintenance Crew Leader,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",41,2025-41,Approves Salary Increase for a Senior Cook,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",42,2025-42,Approves Salary Increase for a Cook,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",43,2025-43,Approves Salary Increase for a Senior Citizens Program Supervisor,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",44,2025-44,Approves Salary Increase for a Minibus Driver,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",45,2025-45,Approves Salary Increase for a Community Relations Specialist,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
"January 7, 2025",46,2025-46,Approves Salary Increase for a Cultural Affairs Supervisor,ADOPTED [UNANIMOUS],True,Robert Kern,Denise Merrifield,aye,aye,aye,aye,aye
"January 7, 2025",47,2025-47,Approves Salary Increase for a Recreation Leader,ADOPTED [UNANIMOUS],True,Denise Merrifield,Joann Waski,aye,aye,aye,aye,aye
"January 7, 2025",48,2025-48,Approves Salary Increase for a Recreation Supervisor,ADOPTED [UNANIMOUS],True,Joann Waski,Kenneth Rothwell,aye,aye,aye,aye,aye
"January 7, 2025",49,2025-49,Approves Salary Increase for a Planner,ADOPTED [UNANIMOUS],True,Kenneth Rothwell,Robert Kern,aye,aye,aye,aye,aye
